clean_text_airl,airline_sentiment
virginamerica flight delay hour la due mechanical problem handle like pro could toss u free drink,0
virginamerica cancel flight flight today precipitation scar,0
virginamerica twitter team guy kill reschedule asap thank,2
virginamerica guy charge reschedule flight cancel flighted refuse refund deal,0
virginamerica cant access website safari iphone seem work mac ipad need iphone add passbook,0
virginamerica ipad iphone click checkin link email receive hrs flight,1
virginamerica mobile site broken show header elevateuser numofpointsavailable number point let checkin,0
virginamerica really look forward flight let know reschedule diehardvirgin,0
virginamerica cancel flight flight vx one sec delay airport next cancel flightled gon na email call reschedule,0
virginamerica problem link email check thanks,0
virginamerica change another airline get dc today unite able land dc cost ugh,0
virginamerica look forward first flight today cancel flightled along subsequent one,0
virginamerica put great deal pdx las la pdx show love http co eniqg buzj,2
virginamerica wish afford fly next friday go back home love everything airline,2
virginamerica gon na deal dallas dc deal dc dallas sad,0
virginamerica bug report guy,1
virginamerica hold time call center bit much,0
virginamerica like http co vpqem xuq,2
virginamerica site help,0
virginamerica best flight attendant ever http co pxdel nq l,2
awesome rt virginamerica watch nominate films foot meetthefleet oscar http co dnstitrzwy,2
virginamerica thanks much,2
virginamerica try reset password email never arrive help,0
virginamerica airline base silicon valley disruption fcmostinnovative incubator fastcompany http co wu lbcncr,2
virginamerica nicely do,2
virginamerica im look forward watch oscar flight home tomorrow might even get something bubbly drink,2
virginamerica reason delay departure vx jfk afternoon,0
virginamerica today flight palm spring ca jfk ny cancel flightled,0
virginamerica hahaha virginamerica guy amaze love guy,2
virginamerica sound like fun,2
virginamerica update flight jfk gt lax,1
virginamerica spruce moose,1
virginamerica cs site right please fix site unusable,0
virginamerica flight vega boston today check online bag count register fix somehow,0
virginamerica classiq luv virgin america greetingz,2
virginamerica hi try check website work tried different browser problem continue,0
virginamerica thanks great customer service today amp help get travel sort,2
virginamerica thanks guy sweet route rockies airplanemodewason,2
virginamerica love music blasting gate boston wait flight sanfrancisco could get iced coffee,2
virginamerica passenger flt assault flown trust ban crew file report faanews,0
virginamerica current bug website show select departure city select destination city http co sllyibe vq,0
virginamerica luggage severely dent miss wheel come baggage claim san luggage agent miranda think help,0
virginamerica thank easy itinerary shift impend weather quick painless amp free,2
virginamerica love see girl inspire become pilot rt free woaw event march abq http co rfxlv kgdh,1
virginamerica thanks good time back vodkatonics entire flight sfo,2
virginamerica beat expectation share take santa cruz sentinel http co qm dqbai g,1
virginamerica plan start fly direct dal la,1
virginamerica big love gratitude mpower w http co agr kncpf werin oscars vipswagbags avalonhollywood http co ybmbgs dhn,1
virginamerica great job add little luxury aesthetic improve air travel experience thank keep,2
virginamerica request window seat confirm window get stuck middle seat good way treat silver member,0
virginamerica grand budapest hotel oscarscountdown,1
virginamerica miss newsvp next trip,1
virginamerica wtf pay direct flight purpose stop fuel exhaust frequent flier nothing inconvenience,0
virginamerica something wrong website safari iphone,0
virginamerica thanks gate check baggage full flight dfw lax give early boarding sweet,2
virginamerica already check page expire x,0
virginamerica boo refund seat upgrade fee want buy first place,0
virginamerica share rise q financial result usa today http co lf pefe,1
virginamerica add pillow instead lie flat seat first class arm race http co rgywjbbhm,1
virginamerica see,2
virginamerica way take advantage mayweatherpacquiao,1
virginamerica know fly virgin fight mayweatherpacquiao,1
virginamerica inflight team make experience amaze,2
virginamerica cut salt pepper shaker ever think guy get good http co vc keulg j,2
virginamerica move seat notice well seat cabin select behind row select disappointed,0
virginamerica share q result iol http co xz qeg nef,1
virginamerica fav airline,2
virginamerica hot female pilot sweet dca sfo,2
guy go start fly paris virginamerica lizautter welcome,1
virginamerica policy fly surgery still wait answer tell doctor,1
virginamerica already contacted central baggage amp send dm renttherunway charge dress lose suitcase help,0
virginamerica thank,2
virginamerica anything go website get lot error past minute,0
virginamerica think leave something plane yesterday call ah,1
virginamerica need follow back order dm,1
virginamerica need start fly kciairport,1
virginamerica tell check airline regulation first contact,1
virginamerica virginatlantic check flight sfo lax amp tell atlantic fly club gold get benefit,0
virginamerica husband order three drink via screen never come awesome,0
virginamerica soooo guy go leave seatbelt light flight barely call turbulence,0
virginamerica policy fly surgery,1
virginamerica post second consecutive full year net profit atwonline http co tvb zbzvhg,1
virginamerica funny story website broken miss javascript stylesheets checkin process dislike,0
virginamerica would love virgin like gopro,2
virginamerica result handily exceed forecast nytimes http co gonmrwem,1
virginamerica apply position flylaxairport wonder guy receive application,1
virginamerica achieves second year profitability despite revenue pressure capa aviation http co zsuztnaijq,1
virginamerica give positive outlook see increase competition reuters http co jeu od eyj,1
virginamerica try check ct flight tmm desktop website work sort cache bug so,0
virginamerica weather delay gt next week jfk bos dca,1
virginamerica madbee check website go airport,1
virginamerica guy know check link email broken http co npxb obmr,0
virginamerica pilot say expect choppy landing nyc due gusty wind w temperature degree amp w windchill,1
virginamerica love wait monday return flight mostly watch inflight safety video sorrynotsorry,2
virginamerica lose luggage day ago flight vx lax iad amp call every day response please give back stuff,0
virginamerica flight book problem section website seem broken chrome might wan na look,0
virginamerica hi want see new route plan year newark love fly guy hope,2
virginamerica mean probably inappropriate board,2
virginamerica happy spend day together let,2
virginamerica save sanity right http co eltboljul,1
virginamerica miss flight standby work,1
virginamerica understanding help thx comp,2
virginamerica bring way across country today see http co tkauygcpms,1
virginamerica thank absolutely,2
virginamerica look like broken link asset https co oardjjgrrd,0
virginamerica ready let say together noooo turbulence today,1
virginamerica manage itinerary section website seem break http co pujvcelng,0
virginamerica check site look like every time load http co kacy awdbw,0
virginamerica u help freyabevan fund need urgent treatment old battling cancer could u help flight freyasfund,1
virginamerica may start service hawaii sanfrancisco year http co ypo nyprzl biztravel,1
virginamerica carrier less half price round trip fare stun http co ukdjjijrow,0
virginamerica wtf happen pdx late flight march one way sfo,0
virginamerica add dtw sell,1
virginamerica free drink flight back free promo,2
virginamerica ssal thanks,2
virginamerica momma make,1
virginamerica please contact portfolio leave flight vx jfk sfo tonite seat need return call,1
virginamerica help flight jkf tonight seat c leave portfolio need back,1
virginamerica shrinerack seattle bound wifey get duffle vday keeper holla http co jloiblnair,1
virginamerica luggage go file paperwork promise call email still resolution response central luggage,0
virginamerica debbie baldwin give rockstar performance safety demo even vx la sfo bestcrew sherocks,1
virginamerica thanks,2
virginamerica thanks take care suuperg flight rockstars travel,2
virginamerica thanks lovely soft view travel san sfo http co cnctl g ef,2
virginamerica request mileage challenge status several week ago online hear back get help,0
virginamerica try book ticket nyc face super fun broken style worry keep try,0
virginamerica many thanks follow ourprincess freyasfund usa bandie look help http co ujfs zi kd,1
virginamerica nice lofty view flylaxairport silverstatus http co f tp dawbd,1
virginamerica apply status match feb get confirmation email day still news though guy drop ball late flightly,0
virginamerica new go airline,1
virginamerica virginatlantic gma americanair help ourprincess need help usa http co aztdaer,1
virginamerica adore look forward flight austin two week,2
virginamerica glad mention take first virgin flight year back transformative experience,2
virginamerica flight book problem flight uphold status match tax ticket count earn status point statusmatch virginamerica,1
virginamerica try check look like site,0
virginamerica spending birthday night dal dca get home,0
virginamerica send couple message email provide avail try next year cheer,0
virginamerica first time fly virgin go sanfrancisco thanks smooth ride easily new fav airline,2
virginamerica seriously though direct flight sfo fll may,0
virginamerica fine already do purchase try go way go back,0
virginamerica really experience hop ws force check small carry w nothing empty cabin space board,0
virginamerica wjere luggage slow lax,0
virginamerica jump dallas austin market http co szr pioa,1
virginamerica speak representative offer solution loyal customer fly virginatlantic well,0
virginamerica deeply disappointed birthday promo apply trip book mere day receive email,0
virginamerica happen direct flight sfo fll look may see connect help dontdothistome,0
virginamerica help leave blazer kooples jacket bag rd row second seat right gate lax flight sfo,1
virginamerica partner visa checkout mobile payment method help boost mobile conversion rate etailwest payment visa,1
virginamerica promote product problem southwest recommend noneother best http co tfanxbh cf,2
virginamerica love guy pls get direct route las au,2
virginamerica would like help flight please,1
bruh virginamerica giannilee turn vxsafetydance,1
virginamerica course work virginatlantic obsess entire virgin family,2
virginamerica ok first time fly tonight,2
virginamerica dig swanky pink mood light flight nyc sfo need cabaret singer think,1
virginamerica do need receipt asap could please help,1
virginamerica emboss badge patch superior one currently use http co fq xelbon,0
virginamerica vx jfk la dirty plane standard,0
virginamerica flight vx head la jfk dirty va plane ever sad great airline,0
virginamerica get square away someone pick soon tweet tweet sooner,2
virginamerica avis rental continue button work website book car try time phone suck,0
virginamerica delay,0
virginamerica currently minute hold cust service need anything add lap child reservation,0
virginamerica add pillow instead lie flat seat first class arm race http co sfjduahx z skift,1
virginamerica karinslee course fun celebrate thanks happy chinese new year,2
virginamerica flight book problem last second flight next week sfo san chance want gift promo code since love guy,2
virginamerica comenity bank joke please change nothing constant problem bank,0
virginamerica dm u also add,1
virginamerica grandma ella th would lt bday greet flight crew stewardess eastern airline,2
virginamerica buy tix atx dallas route thanks add love yr airline amp yr website best transactional site ever,2
virginamerica anytime sugafly,1
virginamerica give credit late flight flight yesterday great service wow moment unexpected gesture,2
virginamerica need receipt flight change send one,1
virginamerica submit status match request back still havent heard im fly monday look accelerate,0
virginamerica safety video http co cqmm nue love first cross country flight livewelltraveled sytycd,2
virginamerica look fat look yummy,2
virginamerica ceo say southwest amp jetblue stray low cost model http co sctomh,1
virginamerica brilliant brisk boston cue vx http co rmznivgmg,1
virginamerica atlantic plough lone furrow middleeast http co fvudmh pf thenationaluae,1
virginamerica atlantic plough lone furrow middleeast http co dcobokn ee thenationaluae,1
virginamerica atlantic plough lone furrow middleeast http co vw p tlh thenationaluae,1
virginamerica omg omg nonstop dallas austin virgin,2
virginamerica plane really pretty thought u know,2
virginamerica fly hawaii,1
virginamerica pull hair try book flight u site work iphone ipad computer help,0
virginamerica thank,2
virginamerica get help support ticket day incident thank,0
virginamerica good home texas moodlighting http co n bvzty zi,2
virginamerica can not even open laptop seat c pay premium let,0
virginamerica seat c can not even open laptop pay extra seat,0
virginamerica guy start flight end month guess im still road trip feb,1
virginamerica thanks need way make austin trip dca come,2
virginamerica announce new route austin w fare way http co ga pbamu c,1
virginamerica really sprint thought guy kewl,1
virginamerica cool never ur plane,2
virginamerica dollar lax las fare,1
virginamerica great well deserve,2
virginamerica fyi info virginamerica com email address say contact password reset email exist email bounce,0
virginamerica status match week go news flt next week hope flt count towards requirement cust svc help,0
virginamerica website suck donkey dick think know best,0
virginamerica still develop app favorite airline,1
virginamerica crap channel pay watch uk tv,0
virginamerica get set thanks,2
virginamerica channel year,1
virginamerica thing see passbook virgin mobile mexico integrate,1
virginamerica giant virgin america match make heaven,2
virginamerica thank goodness also see friday nwk gt sf boom,2
virginamerica come iphone app still use make waste paper,0
virginamerica back seat entertainment system accept credit card apostrophe surname apostrophefail,0
virginamerica vx use lga slot instead today add aus make less likely,0
virginamerica help step tinder game tindertips tinderchamp http co jbmvvha,1
virginamerica luv ur people product thing u charge herbal tea black tea caffeine drinker,2
virginamerica thank see soon excited see expansion destination spread wing,2
virginamerica announce new nonstop connecting austinairport amp dallaslovefield intro http co qxnoaqtyn http co jk qmdfqgf,1
virginamerica add austin dallas love field route http co xwjol flh http co aormfkac,1
virginamerica sad learn long fly sfo gt phl hope return,0
virginamerica tweet cancel flight chng fee flight rebook one affiliate afiliates,1
virginamerica incredible customer service ever experience refresh,2
virginamerica see virginamerica come philadelphia phl,1
virginamerica dream really open route dallas austin mean houston might next,2
virginamerica omg finally,2
virginamerica start xweekly flight dallas dallaslovefield austin apr avgeek,1
virginamerica nice see expand texas forget u sandiego would love see flight,1
virginamerica kinda suck earphone jack work flight may want look future passenger,0
virginamerica poor experience first computer problem seat malfunction stick miss meeting san diego,0
virginamerica battle southwestair dallaslovefield austinairport route http co rlz ebk x via usatoday,1
virginamerica thankyou dal au route make day,2
virginamerica awesome deal dal aus way http co xcvqxykg,2
virginamerica miss nerdbird san jose,1
virginamerica love take southwestair backyard consumer win biz competes,2
virginamerica fly love austin excellent news,2
virginamerica make every vx plane nerdbird austin one get nerd love,1
virginamerica please add frequency pdx portland,1
virginamerica congrats vx new route,2
virginamerica try offer charge additional k new ticket strand thurs st time last time,0
virginamerica americanair u help flight get old battling cancer need treatment freyabevan fund,1
virginamerica never bad experience one take cake extortion carry item well,0
virginamerica spend hour worry item carryon would break steal since carry plane lock bag,0
virginamerica group e told room bin get plane room least bags row,0
virginamerica thanks make flight lax jfk nightmare force check carry bag gate,0
virginamerica lot flight book site work phone wait minute,0
virginamerica flight artisanal cheese wine pairing,2
virginamerica virgin america fly direct seattle nyc boston,1
virginamerica classy,2
virginamerica sure lot jfk lhr flight go lot faster mph strong tailwind,2
virginamerica minus minute elevate silver upgrade window open freeneversucks,2
virginamerica save tomorrow,1
virginamerica take year fly home dallas get shit together,0
virginamerica jezziegoldz club virgin bump new york http co haqc gdg c,1
virginamerica jezziegoldz would rough trip luckily virginamerica flight weather,2
virginamerica thestarter,1
virginamerica please come minneapolis st paul,1
virginamerica yes fyi bff,1
virginamerica another perfect flight come plane sun visor stay carrier make raise,2
nice rt virginamerica man steel might faster wifi say sciencebehindtheexperience http co fgrbpazsix,2
virginamerica love dance little richard cool bean,2
virginamerica dont use passbook still love though lt ill use email future,2
virginamerica thanks free birthday point right,2
virginamerica application io look saw virgin mexico lt,1
virginamerica man steel fly city though frequency,0
virginamerica thanks much share add site http co tsvibtvt h,2
virginamerica good point,1
virginamerica heard virgin mobile hotspot,1
virginamerica get cheese plate flight,1
virginamerica flight,1
virginamerica dad segway best part whole infographic,2
virginamerica plan short haul airline europe would defiantly fly guy,2
virginamerica wifi well seating,2
virginamerica come abc one network channel,1
virginamerica start flight scold use overhead bin offer person seat next,0
virginamerica great return call day ask myvxexperience,2
virginamerica airline cancel flight flight bos help customer get home virgin say good luck,0
virginamerica dear virgin customer strand sf day amp cost least accommodate,1
virginamerica use next airline commercial lol http co pxexilsjbs,1
virginamerica group virgin others bos weather expose actual cu serv model never flight book problem virgin,0
virginamerica one traveler affect boston storm shock virgin complete apathy toward customer,0
virginamerica umm reason someone different contact contact get definitive answer,0
virginamerica try make change advance hour prior try online earlier want change fee,0
virginamerica loyal drive nyc pa fly virgin since cut philly flight,2
virginamerica way change main cabin main cabin select flight without pay change fee penalty,1
virginamerica guy perfect always lt wervirgin,2
virginamerica thanks best customer service leave industry,2
virginamerica give silver status month,1
virginamerica really wish fly fargo fargoairport fare amazings,2
virginamerica mood light point recline seat kickin foot,0
virginamerica flight schedule pm departure still say time plane gate update long delay,0
virginamerica group get cancel flightlation fee waive ticket book rep help either,0
virginamerica sign bonuses enroll elevate,1
virginamerica get pm newark home la folk ewr incredible letsgohome,2
virginamerica morning question regard elevate point amp flight dm,1
